win_idx,t_ms,duty_pct,sample_idx,adc_raw,vbat_raw,ibat_raw
0,0,0.00,0,14,nan,nan
0,0,0.00,1,17,nan,nan
0,0,0.00,2,18,nan,nan
0,0,0.00,3,15,nan,nan
0,0,0.00,4,15,nan,nan
0,0,0.00,5,13,nan,nan
0,0,0.00,6,12,nan,nan
0,0,0.00,7,4,nan,nan
0,0,0.00,8,8,nan,nan
0,0,0.00,9,15,nan,nan
0,0,0.00,10,12,nan,nan
0,0,0.00,11,43,nan,nan
0,0,0.00,12,12,nan,nan
0,0,0.00,13,11,nan,nan
0,0,0.00,14,13,nan,nan
0,0,0.00,15,14,nan,nan
0,0,0.00,16,4,nan,nan
0,0,0.00,17,10,nan,nan
0,0,0.00,18,12,nan,nan
0,0,0.00,19,11,nan,nan
0,0,0.00,20,12,nan,nan
0,0,0.00,21,11,nan,nan
0,0,0.00,22,8,nan,nan
0,0,0.00,23,12,nan,nan
0,0,0.00,24,11,nan,nan
0,0,0.00,25,12,nan,nan
0,0,0.00,26,17,nan,nan
0,0,0.00,27,11,nan,nan
0,0,0.00,28,13,nan,nan
0,0,0.00,29,13,nan,nan
0,0,0.00,30,12,nan,nan
0,0,0.00,31,12,nan,nan
0,0,0.00,32,12,nan,nan
0,0,0.00,33,11,nan,nan
0,0,0.00,34,8,nan,nan
0,0,0.00,35,11,nan,nan
0,0,0.00,36,12,nan,nan
0,0,0.00,37,12,nan,nan
0,0,0.00,38,13,nan,nan
0,0,0.00,39,11,nan,nan
0,0,0.00,40,0,nan,nan
0,0,0.00,41,13,nan,nan
0,0,0.00,42,57,nan,nan
0,0,0.00,43,11,nan,nan
0,0,0.00,44,15,nan,nan
0,0,0.00,45,14,nan,nan
0,0,0.00,46,12,nan,nan
0,0,0.00,47,2,nan,nan
0,0,0.00,48,6,nan,nan
0,0,0.00,49,12,nan,nan
0,0,0.00,50,14,nan,nan
0,0,0.00,51,62,nan,nan
0,0,0.00,52,18,nan,nan
0,0,0.00,53,11,nan,nan
0,0,0.00,54,11,nan,nan
0,0,0.00,55,15,nan,nan
0,0,0.00,56,13,nan,nan
0,0,0.00,57,9,nan,nan
0,0,0.00,58,14,nan,nan
0,0,0.00,59,11,nan,nan
0,0,0.00,60,11,nan,nan
0,0,0.00,61,12,nan,nan
0,0,0.00,62,11,nan,nan
0,0,0.00,63,25,nan,nan
0,0,0.00,64,10,nan,nan
0,0,0.00,65,21,nan,nan
0,0,0.00,66,17,nan,nan
0,0,0.00,67,12,nan,nan
0,0,0.00,68,11,nan,nan
0,0,0.00,69,13,nan,nan
0,0,0.00,70,12,nan,nan
0,0,0.00,71,12,nan,nan
0,0,0.00,72,12,nan,nan
0,0,0.00,73,10,nan,nan
0,0,0.00,74,10,nan,nan
0,0,0.00,75,12,nan,nan
0,0,0.00,76,16,nan,nan
0,0,0.00,77,16,nan,nan
0,0,0.00,78,24,nan,nan
0,0,0.00,79,13,nan,nan
0,0,0.00,80,12,nan,nan
0,0,0.00,81,12,nan,nan
0,0,0.00,82,8,nan,nan
0,0,0.00,83,11,nan,nan
0,0,0.00,84,17,nan,nan
0,0,0.00,85,11,nan,nan
0,0,0.00,86,9,nan,nan
0,0,0.00,87,11,nan,nan
0,0,0.00,88,12,nan,nan
0,0,0.00,89,13,nan,nan
0,0,0.00,90,20,nan,nan
0,0,0.00,91,47,nan,nan
0,0,0.00,92,12,nan,nan
0,0,0.00,93,13,nan,nan
0,0,0.00,94,18,nan,nan
0,0,0.00,95,12,nan,nan
0,0,0.00,96,5,nan,nan
0,0,0.00,97,12,nan,nan
0,0,0.00,98,17,nan,nan
0,0,0.00,99,11,nan,nan
0,0,0.00,100,21,nan,nan
0,0,0.00,101,12,nan,nan
0,0,0.00,102,12,nan,nan
0,0,0.00,103,12,nan,nan
0,0,0.00,104,20,nan,nan
0,0,0.00,105,19,nan,nan
0,0,0.00,106,15,nan,nan
0,0,0.00,107,11,nan,nan
0,0,0.00,108,11,nan,nan
0,0,0.00,109,0,nan,nan
0,0,0.00,110,20,nan,nan
0,0,0.00,111,12,nan,nan
0,0,0.00,112,16,nan,nan
0,0,0.00,113,17,nan,nan
0,0,0.00,114,21,nan,nan
0,0,0.00,115,10,nan,nan
0,0,0.00,116,16,nan,nan
0,0,0.00,117,15,nan,nan
0,0,0.00,118,15,nan,nan
0,0,0.00,119,11,nan,nan
0,0,0.00,120,17,nan,nan
0,0,0.00,121,11,nan,nan
0,0,0.00,122,11,nan,nan
0,0,0.00,123,12,nan,nan
0,0,0.00,124,21,nan,nan
0,0,0.00,125,13,nan,nan
0,0,0.00,126,16,nan,nan
0,0,0.00,127,10,nan,nan
0,0,0.00,128,12,nan,nan
0,0,0.00,129,12,nan,nan
0,0,0.00,130,19,nan,nan
0,0,0.00,131,0,nan,nan
0,0,0.00,132,11,nan,nan
0,0,0.00,133,11,nan,nan
0,0,0.00,134,18,nan,nan
0,0,0.00,135,11,nan,nan
0,0,0.00,136,20,nan,nan
0,0,0.00,137,30,nan,nan
0,0,0.00,138,12,nan,nan
0,0,0.00,139,12,nan,nan
0,0,0.00,140,18,nan,nan
0,0,0.00,141,8,nan,nan
0,0,0.00,142,10,nan,nan
0,0,0.00,143,12,nan,nan
0,0,0.00,144,24,nan,nan
0,0,0.00,145,16,nan,nan
0,0,0.00,146,14,nan,nan
0,0,0.00,147,11,nan,nan
0,0,0.00,148,11,nan,nan
0,0,0.00,149,16,nan,nan
0,0,0.00,150,19,nan,nan
0,0,0.00,151,10,nan,nan
0,0,0.00,152,17,nan,nan
0,0,0.00,153,32,nan,nan
0,0,0.00,154,16,nan,nan
0,0,0.00,155,9,nan,nan
0,0,0.00,156,11,nan,nan
0,0,0.00,157,12,nan,nan
0,0,0.00,158,21,nan,nan
0,0,0.00,159,13,nan,nan
0,0,0.00,160,12,nan,nan
0,0,0.00,161,13,nan,nan
0,0,0.00,162,12,nan,nan
0,0,0.00,163,9,nan,nan
0,0,0.00,164,4,nan,nan
0,0,0.00,165,14,nan,nan
0,0,0.00,166,12,nan,nan
0,0,0.00,167,0,nan,nan
0,0,0.00,168,11,nan,nan
0,0,0.00,169,12,nan,nan
0,0,0.00,170,12,nan,nan
0,0,0.00,171,29,nan,nan
0,0,0.00,172,15,nan,nan
0,0,0.00,173,11,nan,nan
0,0,0.00,174,12,nan,nan
0,0,0.00,175,12,nan,nan
0,0,0.00,176,6,nan,nan
0,0,0.00,177,8,nan,nan
0,0,0.00,178,12,nan,nan
0,0,0.00,179,13,nan,nan
0,0,0.00,180,9,nan,nan
0,0,0.00,181,12,nan,nan
0,0,0.00,182,11,nan,nan
0,0,0.00,183,12,nan,nan
0,0,0.00,184,12,nan,nan
0,0,0.00,185,8,nan,nan
0,0,0.00,186,15,nan,nan
0,0,0.00,187,11,nan,nan
0,0,0.00,188,10,nan,nan
0,0,0.00,189,13,nan,nan
0,0,0.00,190,13,nan,nan
0,0,0.00,191,20,nan,nan
0,0,0.00,192,14,nan,nan
0,0,0.00,193,11,nan,nan
0,0,0.00,194,12,nan,nan
0,0,0.00,195,12,nan,nan
0,0,0.00,196,14,nan,nan
0,0,0.00,197,10,nan,nan
0,0,0.00,198,13,nan,nan
0,0,0.00,199,11,nan,nan
0,0,0.00,200,12,nan,nan
0,0,0.00,201,9,nan,nan
0,0,0.00,202,10,nan,nan
0,0,0.00,203,11,nan,nan
0,0,0.00,204,12,nan,nan
0,0,0.00,205,15,nan,nan
0,0,0.00,206,18,nan,nan
0,0,0.00,207,11,nan,nan
0,0,0.00,208,12,nan,nan
0,0,0.00,209,12,nan,nan
0,0,0.00,210,13,nan,nan
0,0,0.00,211,16,nan,nan
0,0,0.00,212,13,nan,nan
0,0,0.00,213,11,nan,nan
0,0,0.00,214,12,nan,nan
0,0,0.00,215,12,nan,nan
0,0,0.00,216,14,nan,nan
0,0,0.00,217,9,nan,nan
0,0,0.00,218,27,nan,nan
0,0,0.00,219,11,nan,nan
0,0,0.00,220,16,nan,nan
0,0,0.00,221,8,nan,nan
0,0,0.00,222,12,nan,nan
0,0,0.00,223,13,nan,nan
0,0,0.00,224,13,nan,nan
0,0,0.00,225,13,nan,nan
0,0,0.00,226,18,nan,nan
0,0,0.00,227,11,nan,nan
0,0,0.00,228,12,nan,nan
0,0,0.00,229,5,nan,nan
0,0,0.00,230,12,nan,nan
0,0,0.00,231,14,nan,nan
0,0,0.00,232,13,nan,nan
0,0,0.00,233,13,nan,nan
0,0,0.00,234,10,nan,nan
0,0,0.00,235,11,nan,nan
0,0,0.00,236,16,nan,nan
0,0,0.00,237,12,nan,nan
0,0,0.00,238,12,nan,nan
0,0,0.00,239,11,nan,nan
0,0,0.00,240,14,nan,nan
0,0,0.00,241,9,nan,nan
0,0,0.00,242,10,nan,nan
0,0,0.00,243,6,nan,nan
0,0,0.00,244,13,nan,nan
0,0,0.00,245,22,nan,nan
0,0,0.00,246,10,nan,nan
0,0,0.00,247,18,nan,nan
0,0,0.00,248,15,nan,nan
0,0,0.00,249,12,nan,nan
0,0,0.00,250,12,nan,nan
0,0,0.00,251,12,nan,nan
0,0,0.00,252,18,nan,nan
0,0,0.00,253,13,nan,nan
0,0,0.00,254,12,nan,nan
0,0,0.00,255,0,nan,nan
0,0,0.00,256,14,nan,nan
0,0,0.00,257,9,nan,nan
0,0,0.00,258,10,nan,nan
0,0,0.00,259,13,nan,nan
0,0,0.00,260,13,nan,nan
0,0,0.00,261,14,nan,nan
0,0,0.00,262,13,nan,nan
0,0,0.00,263,11,nan,nan
0,0,0.00,264,2,nan,nan
0,0,0.00,265,10,nan,nan
0,0,0.00,266,12,nan,nan
0,0,0.00,267,15,nan,nan
0,0,0.00,268,10,nan,nan
0,0,0.00,269,9,nan,nan
0,0,0.00,270,10,nan,nan
0,0,0.00,271,12,nan,nan
0,0,0.00,272,10,nan,nan
0,0,0.00,273,10,nan,nan
0,0,0.00,274,11,nan,nan
0,0,0.00,275,11,nan,nan
0,0,0.00,276,9,nan,nan
0,0,0.00,277,12,nan,nan
0,0,0.00,278,12,nan,nan
0,0,0.00,279,14,nan,nan
0,0,0.00,280,13,nan,nan
0,0,0.00,281,11,nan,nan
0,0,0.00,282,11,nan,nan
0,0,0.00,283,11,nan,nan
0,0,0.00,284,9,nan,nan
0,0,0.00,285,17,nan,nan
0,0,0.00,286,17,nan,nan
0,0,0.00,287,25,nan,nan
0,0,0.00,288,10,nan,nan
